product_id,product_name,category,weight_kg,length_cm,width_cm,height_cm,expiry_date,temp_sensitive,fragility_level,packaging_type,material_thickness_mm,insulation_required,reinforcement_level,ai_recommended_packaging,optimized_length,optimized_width,optimized_height,estimated_waste_kg,carbon_reduction_kgco2e,shipment_id,route_id,transport_mode,distance_km,est_transit_days,current_lat,current_lon,timestamp,temp_c,humidity_percent,shock_event,block_hash,sustainability_score,carbon_credits_earned,warehouse_id,storage_condition,inventory_turnover,reorder_alert,risk_score,regulatory_compliance,damage_probability
P1000,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-100,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:00:00,25,45,Yes,0x65fc...bd01,89,0.21,WH-790,Dry Storage,14.5,Yes,22,IECQ-HSPM,4%
P1001,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-101,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:01:00,25,45,Yes,0x31ac...81c3,91,0.19,WH-790,Dry Storage,8.6,Yes,16,IECQ-HSPM,1%
P1002,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-102,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:02:00,4,85,No,0x4e56...c2d1,91,0.25,WH-789,Cold Storage,14.2,No,14,ISO13485:2016,2%
P1003,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-103,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:03:00,25,45,Yes,0xfdc1...0c3b,93,0.16,WH-790,Dry Storage,10.7,Yes,15,IECQ-HSPM,1%
P1004,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-104,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:04:00,25,45,Yes,0xe0af...f621,80,0.27,WH-790,Dry Storage,8.5,Yes,14,IECQ-HSPM,7%
P1005,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-105,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:05:00,25,45,Yes,0x40d9...a635,94,0.43,WH-790,Dry Storage,8.2,Yes,16,IECQ-HSPM,3%
P1006,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-106,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:06:00,4,85,No,0x24a0...d568,80,0.29,WH-789,Cold Storage,10.8,No,14,ISO13485:2016,5%
P1007,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-107,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:07:00,4,85,No,0x61a0...8ac3,91,0.33,WH-789,Cold Storage,12.0,No,12,ISO13485:2016,9%
P1008,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-108,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:08:00,4,85,No,0xcba0...72e6,93,0.18,WH-789,Cold Storage,13.6,No,20,ISO13485:2016,5%
P1009,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-109,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:09:00,25,45,Yes,0x93ac...5218,84,0.21,WH-790,Dry Storage,10.5,Yes,11,IECQ-HSPM,1%
